Ticker,Risk
AAON,41.121125039298605
ABMD,19.323048366255883
ACIA,58.35686354496946
ACHC,12.255367962431656
ACAD,8.504014411696723
XLRN,20.70328008117183
ACIW,17.307401144335692
ATVI,26.68257530798028
ACXM,42.0633592437124
ADBE,17.752595594193327
AEIS,15.61054405086725
AMD,22.98570876158392
AGIO,-1.1209043954318412
AGNC,5.26249340943525
AGNCB,-1.8664507189026378
AKAM,35.56790782190857
AKRX,16.074977039534073
ALRM,28.319980721808275
ALXN,32.19446530708255
ALGN,27.258242670495434
ALKS,17.933606436942714
ALGT,32.92117871207081
AHGP,0.3027342795298159
ARLP,-0.10027807575070212
MDRX,28.456454895548042
ALNY,83.83826504815318
GOOG,22.4307552089175
GOOGL,20.148405950895807
AYA,-9.999999999999702
AMZN,12.980155543747493
AMBA,30.077942555439947
AMCX,16.28572754017899
DOX,4.283282967958935
UHAL,13.611793042857617
AAL,18.747020201038374
ACAS,-1.8929943116528782
ANAT,4.216105343529008
ABCB,10.016739879350006
AMGN,-0.13014240256461038
AMKR,29.804359591643554
AMSG,84.14472900621601
AFSI,5.209688113718492
ADI,13.712791917524061
ANSS,11.019695320941532
AAPL,5.574869989398342
AMAT,15.127254103690014
ACGL,27.81075220124754
ARCC,-0.18774444202166354
AGII,36.04126136678837
ARIA,-5.5991199245139835
ARRS,14.433698378577663
ASML,24.696015316543367
AZPN,13.158249840535126
ASTE,7.320567354294049
ATHN,16.280794984698325
ABY,14.669761098541315
TEAM,12.674294870577047
ADSK,70.1352947293337
ADP,6.5864101810725515
AVXS,21.9064489530526
CAR,25.50829097161025
BEAV,-6.350742901780352
BIDU,8.478559711819116
BCPC,15.92838416017962
OZRK,6.808765927944215
BANR,5.089776071668335
BECN,12.080649277116748
BBBY,9.666701250418383
BGCP,24.291436188392595
BIIB,1.1159229217546474
BMRN,20.026068927799265
TECH,8.80142774175258
BLKB,15.28907976748848
BBRY,nan
HAWK,-8.505488176315593
BLMN,6.011924886830049
BUFF,-8.425825824728475
BLUE,51.597180414546074
BNCN,nan
BOFI,20.05174139352661
BOKF,11.767431222202715
AVGO,31.320186866869815
BRCD,0.5782968302846913
BRKR,6.999189330957904
BWLD,-9.381847980979344
CHRW,4.969983832115315
CA,10.119591360339532
CCMP,34.2986827032261
CDNS,3.0103951235842525
CACQ,28.290641716426382
CSQ,6.966284097860475
CALM,4.10976301441235
CBF,19.937611871780042
CFFN,0.8262970355830789
CATM,39.97024794962313
CRZO,35.26688165128344
CASY,1.562807441192333
CATY,4.389618841246295
CAVM,18.19692853729404
CBOE,21.4363959415708
CDK,4.886485978905382
CDW,6.15496211846753
CELG,9.993214057256997
CDEV,41.71534420125906
CENT,7.7749434842074265
CENTA,7.813788076482759
CERN,22.089801930449816
CHTR,16.99565252296531
CHKP,1.6625309692033725
CHFC,4.347417892791652
PLCE,20.814086203064708
CBPO,39.06858197615647
HTHT,79.54990596954424
CHDN,9.49194461830903
CMPR,32.89489756554127
CINF,6.130983522795562
CTAS,8.735237392662903
CRUS,15.807519414564998
CSCO,6.1254171125046
CTXS,4.91820593162824
CLVS,25.020580633659655
CME,11.472750321761534
CNV,-9.99999999999975
COKE,12.665359383171443
CCOI,19.595291124750396
CGNX,20.235448148026606
CTSH,3.8794395175481933
COHR,38.942377791118474
COLB,1.0133637666853297
COLM,4.023832820041894
CMCSA,7.822743340246182
CBSH,7.188687866175313
CBSHP,-2.4101385196294887
COMM,4.2533162468253884
CVLT,40.275456507573146
CNSL,14.131864201321648
CPRT,22.171265004429166
CORE,6.41582750601501
CSOD,21.111266016758833
CSGP,5.708810379983298
COST,8.360247188019274
COUP,14.748506367115892
CBRL,3.2097479464165124
CACC,2.7848665924407086
CREE,37.43498677304926
CRTO,-0.9643791516706448
CSGS,3.0996150313174278
CSX,5.961591544618506
CTRP,10.953145484645788
CVBF,1.1118096351585833
CYBR,17.22443982959852
CY,12.895916311118327
CONE,32.51504180661284
PLAY,16.63060106425907
XRAY,9.637202691517556
DXCM,63.64272797752583
FANG,9.397643250048908
DISCA,15.665198599670305
DISCB,136.922516679712
DISCK,19.40208716683906
DISH,5.830501224507286
DLTR,60.641707166253596
DORM,21.218697405119812
DNKN,1.4809288546203236
ETFC,32.326479566025384
EGBN,3.4166610018780306
EWBC,19.025975733669995
EBAY,8.253615682120651
EBIX,21.428701530666075
SATS,-0.0682680059823273
ESLT,0.191953604921489
EA,5.9018177902533715
EFII,23.347843282869015
ENDP,16.213893082391177
ESGR,1.9102475992572727
ENTG,19.325994498039115
EQIX,31.91191124631966
ERIC,0.19580394564450943
ERIE,-1.5368598912405802
ETSY,52.30054796833875
EEFT,3.4964935298541993
EXAS,52.72126277815048
EXEL,-1.111542651874241
EXLS,10.819159770135444
EXPE,19.26017912425607
EXPD,4.2072492393285925
EXPO,12.261598364300202
ESRX,32.2617306840054
XOG,6.318045221241844
FFIV,11.591659010912114
FB,4.917667943508252
FAST,13.037519946773893
FDML,-10.0
GSM,20.585333113744472
FGEN,29.594161500457336
FITB,2.2905015122752665
FNGN,17.339216763443705
FNSR,46.9384806883182
FEYE,7.5406077219758725
FCFS,27.25177202190684
FCNCA,21.117140116144057
FFBC,9.871320653758557
FFIN,8.250848395143443
FHB,5.484848584027326
FIBK,2.4371234235612875
FMBI,5.646555996364402
FSLR,15.872054609309874
FV,6.683689961471792
QTEC,13.165691091230748
FSV,2.6287605611102487
FISV,4.6625021058948075
FIVE,13.31236596952637
FPRX,93.06272556223384
FLEX,12.65825377355256
FLIR,6.664795875625806
FTNT,26.098635610599068
