"2013-01-01","11.506293544549647","28.0"
"2013-04-01","12.622982149945434","25.53"
"2013-07-01","12.28235155024167","24.81"
"2013-10-01","41.72969886579151","50.42"
"2014-01-01","35.43602895057364","54.71"
"2014-04-01","42.57981504313476","62.62"
"2014-07-01","45.07184966454992","68.06"
"2014-10-01","43.87016080992676","76.55"
"2015-01-01","32.985263929689076","78.45"
"2015-04-01","31.803462494948448","81.665"
"2015-07-01","32.1797254821664","86.91"
"2015-10-01","31.42280666186175","90.95"
"2016-01-01","35.57178879150198","102.22"
"2016-04-01","41.42599046182414","116.06"
"2016-07-01","38.542682589173445","114.19"
"2016-10-01","41.79766436562926","128.77"
"2017-01-01","36.42706475828248","116.86"
"2017-04-01","39.81574771010285","142.28"
"2017-07-01","37.77001939558521","148.43"
"2017-10-01","40.42688305158178","169.47"
